status,circuit_depth,circuit_width,circuit_size,circuit_count_ops,num_qubits,num_clbits,num_ancillas,num_parameters,has_calibrations,has_layout,payload_size,num_gates,execution_type,experiment_type,counts,success_rate,ibm_job_id,ibm_backend,iteration,job_duration,job_quantum_duration,job_status,job_success_rate,job_created,job_finished,job_running,job_execution_spans,job_execution_duration
completed,11,5,17,"{""h"": 8, ""cx"": 5, ""x"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,ibm,fixed_payload_experiments,"{""0"": 2830, ""1"": 1266}",0.69091796875,d09septnhqag008pecgg,ibm_sherbrooke,1,2.0,2.0,completed,0.69091796875,2025-05-01T15:46:35.329Z,2025-05-01T15:46:52.742Z,2025-05-01T15:46:38.311Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 15:46:50', stop='2025-05-01 15:46:51', size=4096>)])",1.692741
completed,11,5,17,"{""h"": 8, ""cx"": 5, ""y"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,ibm,fixed_payload_experiments,"{""1"": 1397, ""0"": 2699}",0.658935546875,d09sf0m6rr3g008765t0,ibm_sherbrooke,2,2.0,2.0,completed,0.658935546875,2025-05-01T15:47:14.817Z,2025-05-01T15:47:28.799Z,2025-05-01T15:47:18.488Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 15:47:26', stop='2025-05-01 15:47:27', size=4096>)])",1.694677
completed,11,5,17,"{""h"": 6, ""cx"": 5, ""z"": 2, ""s"": 1, ""cz"": 1, ""sdg"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,ibm,fixed_payload_experiments,"{""1"": 1821, ""0"": 2275}",0.555419921875,d09sf9nkzhn0008v7w90,ibm_sherbrooke,3,2.0,2.0,completed,0.555419921875,2025-05-01T15:47:50.262Z,2025-05-01T15:48:35.190Z,2025-05-01T15:48:15.388Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 15:48:32', stop='2025-05-01 15:48:34', size=4096>)])",1.710574
completed,11,5,17,"{""cx"": 5, ""h"": 4, ""x"": 2, ""y"": 2, ""z"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,ibm,fixed_payload_experiments,"{""0"": 2449, ""1"": 1647}",0.597900390625,d09sftfnhqag008ped10,ibm_sherbrooke,4,2.0,2.0,completed,0.597900390625,2025-05-01T15:48:58.061Z,2025-05-01T15:49:11.175Z,2025-05-01T15:49:01.656Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 15:49:08', stop='2025-05-01 15:49:10', size=4096>)])",1.69225
completed,11,5,17,"{""h"": 6, ""cx"": 5, ""z"": 2, ""sdg"": 1, ""cz"": 1, ""s"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,ibm,fixed_payload_experiments,"{""0"": 2533, ""1"": 1563}",0.618408203125,d09sg2gd8drg008ymqwg,ibm_sherbrooke,5,2.0,2.0,completed,0.618408203125,2025-05-01T15:49:30.826Z,2025-05-01T15:49:36.991Z,2025-05-01T15:49:33.444Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 15:49:34', stop='2025-05-01 15:49:36', size=4096>)])",1.686811
completed,11,5,17,"{""cx"": 5, ""h"": 4, ""x"": 2, ""z"": 2, ""s"": 1, ""cz"": 1, ""sdg"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,ibm,fixed_payload_experiments,"{""0"": 2299, ""1"": 1797}",0.561279296875,d09sg9skzhn0008v7wpg,ibm_sherbrooke,6,2.0,2.0,completed,0.561279296875,2025-05-01T15:49:59.961Z,2025-05-01T15:50:14.228Z,2025-05-01T15:50:02.483Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 15:50:11', stop='2025-05-01 15:50:13', size=4096>)])",1.718476
completed,11,5,17,"{""cx"": 5, ""h"": 4, ""y"": 2, ""x"": 2, ""z"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,ibm,fixed_payload_experiments,"{""0"": 2521, ""1"": 1575}",0.615478515625,d09sgjtnhqag008peddg,ibm_sherbrooke,7,2.0,2.0,completed,0.615478515625,2025-05-01T15:50:35.390Z,2025-05-01T15:50:41.332Z,2025-05-01T15:50:38.211Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 15:50:38', stop='2025-05-01 15:50:40', size=4096>)])",1.6863709999999998
completed,11,5,17,"{""cx"": 5, ""h"": 4, ""y"": 2, ""x"": 2, ""s"": 1, ""cz"": 1, ""sdg"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,ibm,fixed_payload_experiments,"{""1"": 1322, ""0"": 2774}",0.67724609375,d09sgrbqnmvg008709f0,ibm_sherbrooke,8,2.0,2.0,completed,0.67724609375,2025-05-01T15:50:57.813Z,2025-05-01T15:51:03.332Z,2025-05-01T15:51:00.141Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 15:51:00', stop='2025-05-01 15:51:02', size=4096>)])",1.7186810000000001
completed,11,5,17,"{""cx"": 5, ""h"": 4, ""x"": 2, ""z"": 2, ""s"": 1, ""cz"": 1, ""sdg"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,ibm,fixed_payload_experiments,"{""0"": 2455, ""1"": 1641}",0.599365234375,d09sgybnhqag008pedjg,ibm_sherbrooke,9,2.0,2.0,completed,0.599365234375,2025-05-01T15:51:21.917Z,2025-05-01T15:51:28.018Z,2025-05-01T15:51:24.875Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 15:51:25', stop='2025-05-01 15:51:27', size=4096>)])",1.700661
completed,11,5,17,"{""cx"": 5, ""h"": 4, ""y"": 2, ""x"": 2, ""s"": 1, ""cz"": 1, ""sdg"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,ibm,fixed_payload_experiments,"{""0"": 2396, ""1"": 1700}",0.5849609375,d09sh4mkzhn0008v7x60,ibm_sherbrooke,10,2.0,2.0,completed,0.5849609375,2025-05-01T15:51:46.648Z,2025-05-01T15:51:52.152Z,2025-05-01T15:51:48.735Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 15:51:49', stop='2025-05-01 15:51:51', size=4096>)])",1.70294
completed,11,5,17,"{""cx"": 5, ""h"": 4, ""y"": 2, ""x"": 2, ""s"": 1, ""cz"": 1, ""sdg"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,ibm,fixed_payload_experiments,"{""0"": 2452, ""1"": 1644}",0.5986328125,d09shanqnmvg008709m0,ibm_sherbrooke,11,2.0,2.0,completed,0.5986328125,2025-05-01T15:52:10.991Z,2025-05-01T15:52:28.963Z,2025-05-01T15:52:13.753Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 15:52:26', stop='2025-05-01 15:52:27', size=4096>)])",1.6997740000000001
completed,11,5,17,"{""cx"": 5, ""h"": 4, ""z"": 4, ""x"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,ibm,fixed_payload_experiments,"{""0"": 2336, ""1"": 1760}",0.5703125,d09shkeqnmvg008709rg,ibm_sherbrooke,12,2.0,2.0,completed,0.5703125,2025-05-01T15:52:45.625Z,2025-05-01T15:53:24.677Z,2025-05-01T15:53:13.314Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 15:53:22', stop='2025-05-01 15:53:23', size=4096>)])",1.702896
completed,11,5,17,"{""cx"": 5, ""h"": 4, ""s"": 3, ""sdg"": 3, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,ibm,fixed_payload_experiments,"{""0"": 2353, ""1"": 1743}",0.574462890625,d09sj30qnmvg00870a1g,ibm_sherbrooke,13,2.0,2.0,completed,0.574462890625,2025-05-01T15:53:48.434Z,2025-05-01T15:54:01.691Z,2025-05-01T15:53:50.896Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 15:53:58', stop='2025-05-01 15:54:00', size=4096>)])",1.912899
completed,11,5,17,"{""h"": 6, ""cx"": 5, ""z"": 2, ""y"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,ibm,fixed_payload_experiments,"{""1"": 1599, ""0"": 2497}",0.609619140625,d09sjc9rxz8g008a4250,ibm_sherbrooke,14,2.0,2.0,completed,0.609619140625,2025-05-01T15:54:25.714Z,2025-05-01T15:56:29.603Z,2025-05-01T15:54:37.911Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 15:56:26', stop='2025-05-01 15:56:28', size=4096>)])",1.920458
completed,11,5,17,"{""cx"": 5, ""h"": 4, ""x"": 2, ""z"": 2, ""sdg"": 1, ""cz"": 1, ""s"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,ibm,fixed_payload_experiments,"{""1"": 1630, ""0"": 2466}",0.60205078125,d09skh66rr3g0087687g,ibm_sherbrooke,15,2.0,2.0,completed,0.60205078125,2025-05-01T15:56:53.175Z,2025-05-01T15:56:59.846Z,2025-05-01T15:56:56.145Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 15:56:57', stop='2025-05-01 15:56:58', size=4096>)])",1.754171
completed,11,5,17,"{""h"": 8, ""cx"": 5, ""s"": 1, ""cz"": 1, ""sdg"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,ibm,fixed_payload_experiments,"{""0"": 2508, ""1"": 1588}",0.6123046875,d09skrzrxz8g008a42k0,ibm_sherbrooke,16,2.0,2.0,completed,0.6123046875,2025-05-01T15:57:23.858Z,2025-05-01T15:57:30.597Z,2025-05-01T15:57:27.024Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 15:57:27', stop='2025-05-01 15:57:29', size=4096>)])",1.699463
completed,11,5,17,"{""cx"": 5, ""h"": 4, ""sdg"": 2, ""x"": 2, ""s"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,ibm,fixed_payload_experiments,"{""0"": 2864, ""1"": 1232}",0.69921875,d09sm00kzhn0008v7y80,ibm_sherbrooke,17,2.0,2.0,completed,0.69921875,2025-05-01T15:57:53.128Z,2025-05-01T15:57:59.311Z,2025-05-01T15:57:55.903Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 15:57:56', stop='2025-05-01 15:57:58', size=4096>)])",1.798341
